avg_temp,year,15-MA
8.72,1750,
7.98,1751,
5.78,1752,
8.39,1753,
8.47,1754,
8.36,1755,
8.85,1756,
9.02,1757,
6.74,1758,
7.99,1759,
7.19,1760,
8.77,1761,
8.61,1762,
7.5,1763,
8.4,1764,
8.25,1765,8.06375
8.41,1766,8.048666667
8.22,1767,8.211333333
6.78,1768,8.104
7.69,1769,8.052
7.69,1770,8.007333333
7.85,1771,7.940666667
8.19,1772,7.885333333
8.22,1773,7.984
8.77,1774,8.036
9.18,1775,8.168666667
8.3,1776,8.137333333
8.26,1777,8.114
8.54,1778,8.183333333
8.98,1779,8.222
9.43,1780,8.300666667
8.1,1781,8.28
7.9,1782,8.258666667
7.68,1783,8.318666667
7.86,1784,8.33
7.36,1785,8.308
8.26,1786,8.335333333
8.03,1787,8.324666667
8.45,1788,8.34
8.33,1789,8.310666667
7.98,1790,8.230666667
8.23,1791,8.226
8.09,1792,8.214666667
8.23,1793,8.194
8.53,1794,8.164
8.35,1795,8.092
8.27,1796,8.103333333
8.51,1797,8.144
8.67,1798,8.21
8.51,1799,8.253333333
8.48,1800,8.328
8.59,1801,8.35
8.58,1802,8.386666667
8.5,1803,8.39
8.84,1804,8.424
8.56,1805,8.462666667
8.43,1806,8.476
8.28,1807,8.488666667
7.63,1808,8.448666667
7.08,1809,8.352
6.92,1810,8.256666667
6.86,1811,8.162666667
7.05,1812,8.065333333
7.74,1813,8.003333333
7.59,1814,7.942
7.24,1815,7.859333333
6.94,1816,7.749333333
6.98,1817,7.642666667
7.83,1818,7.598
7.37,1819,7.5
7.62,1820,7.437333333
8.09,1821,7.414666667
8.19,1822,7.408666667
7.72,1823,7.414666667
8.55,1824,7.512666667
8.39,1825,7.610666667
8.36,1826,7.710666667
8.81,1827,7.828
8.17,1828,7.856666667
7.94,1829,7.88
8.52,1830,7.965333333
7.64,1831,8.012
7.45,1832,8.043333333
8.01,1833,8.055333333
8.15,1834,8.107333333
7.39,1835,8.092
7.7,1836,8.066
7.38,1837,8.012
7.51,1838,7.998
7.63,1839,7.936666667
7.8,1840,7.897333333
7.69,1841,7.852666667
8.02,1842,7.8
8.17,1843,7.8
7.65,1844,7.780666667
7.85,1845,7.736
8.55,1846,7.796666667
8.09,1847,7.839333333
7.98,1848,7.837333333
7.98,1849,7.826
7.9,1850,7.86
8.18,1851,7.892
8.1,1852,7.94
8.04,1853,7.975333333
8.21,1854,8.014
8.11,1855,8.034666667
8,1856,8.055333333
7.76,1857,8.038
8.1,1858,8.033333333
8.25,1859,8.073333333
7.96,1860,8.080666667
7.85,1861,8.034
7.56,1862,7.998666667
8.11,1863,8.007333333
7.98,1864,8.007333333
8.18,1865,8.026
8.29,1866,8.033333333
8.44,1867,8.056
8.25,1868,8.07
8.43,1869,8.084666667
8.2,1870,8.090666667
8.12,1871,8.098666667
8.19,1872,8.127333333
8.35,1873,8.144
8.43,1874,8.156
7.86,1875,8.149333333
8.08,1876,8.164666667
8.54,1877,8.23
8.83,1878,8.278
8.17,1879,8.290666667
8.12,1880,8.286666667
8.27,1881,8.285333333
8.13,1882,8.264666667
7.98,1883,8.246666667
7.77,1884,8.202666667
7.92,1885,8.184
7.95,1886,8.172666667
7.91,1887,8.154
8.09,1888,8.136666667
8.32,1889,8.129333333
7.97,1890,8.136666667
8.02,1891,8.132666667
8.07,1892,8.101333333
8.06,1893,8.05
8.16,1894,8.049333333
8.15,1895,8.051333333
8.21,1896,8.047333333
8.29,1897,8.058
8.18,1898,8.071333333
8.4,1899,8.113333333
8.5,1900,8.152
8.54,1901,8.191333333
8.3,1902,8.217333333
8.22,1903,8.226
8.09,1904,8.210666667
8.23,1905,8.228
8.38,1906,8.252
7.95,1907,8.244
8.19,1908,8.252666667
8.18,1909,8.254
8.22,1910,8.258666667
8.18,1911,8.256666667
8.17,1912,8.248666667
8.3,1913,8.256666667
8.59,1914,8.269333333
8.59,1915,8.275333333
8.23,1916,8.254666667
8.02,1917,8.236
8.13,1918,8.23
8.38,1919,8.249333333
8.36,1920,8.258
8.57,1921,8.270666667
8.41,1922,8.301333333
8.42,1923,8.316666667
8.51,1924,8.338666667
8.53,1925,8.359333333
8.73,1926,8.396
8.52,1927,8.419333333
8.63,1928,8.441333333
8.24,1929,8.418
8.63,1930,8.420666667
8.72,1931,8.453333333
8.71,1932,8.499333333
8.34,1933,8.513333333
8.63,1934,8.53
8.52,1935,8.540666667
8.55,1936,8.539333333
8.7,1937,8.558666667
8.86,1938,8.588
8.76,1939,8.604666667
8.76,1940,8.62
8.77,1941,8.622666667
8.73,1942,8.636666667
8.76,1943,8.645333333
8.85,1944,8.686
8.58,1945,8.682666667
8.68,1946,8.68
8.8,1947,8.686
8.75,1948,8.713333333
8.59,1949,8.710666667
8.37,1950,8.700666667
8.63,1951,8.706
8.64,1952,8.702
8.87,1953,8.702666667
8.56,1954,8.689333333
8.63,1955,8.680666667
8.28,1956,8.648
8.73,1957,8.648
8.77,1958,8.648666667
8.73,1959,8.640666667
8.58,1960,8.640666667
8.8,1961,8.648666667
8.75,1962,8.645333333
8.86,1963,8.652666667
8.41,1964,8.640666667
8.53,1965,8.651333333
8.6,1966,8.649333333
8.7,1967,8.653333333
8.52,1968,8.63
8.6,1969,8.632666667
8.7,1970,8.637333333
8.6,1971,8.658666667
8.5,1972,8.643333333
8.95,1973,8.655333333
8.47,1974,8.638
8.74,1975,8.648666667
8.35,1976,8.618666667
8.85,1977,8.625333333
8.69,1978,8.614
8.73,1979,8.635333333
8.98,1980,8.665333333
9.17,1981,8.703333333
8.64,1982,8.699333333
9.03,1983,8.733333333
8.69,1984,8.739333333
8.66,1985,8.736666667
8.83,1986,8.752
8.99,1987,8.784666667
9.2,1988,8.801333333
8.92,1989,8.831333333
9.23,1990,8.864
9.18,1991,8.919333333
8.84,1992,8.918666667
8.87,1993,8.930666667
9.04,1994,8.951333333
9.35,1995,8.976
9.04,1996,8.967333333
9.2,1997,9.004666667
9.52,1998,9.037333333
9.29,1999,9.077333333
9.2,2000,9.113333333
9.41,2001,9.152
9.57,2002,9.190666667
9.53,2003,9.212666667
9.32,2004,9.239333333
9.7,2005,9.270666667
9.53,2006,9.294
9.73,2007,9.353333333
9.43,2008,9.390666667
9.51,2009,9.422
9.7,2010,9.445333333
9.52,2011,9.477333333
9.51,2012,9.498
9.61,2013,9.504
9.57,2014,9.522666667
9.83,2015,9.564666667
